SpecCode,Species,AutoCtr,StockCode,E_CODE,PopGrowthRef,Sex,Data,DataSourceRef,Loo,Number,r2,SE_Loo,SD_Loo,LCL_Loo,UCL_Loo,AssumedDistLoo,TLinfinity,K,SE_K,SD_K,LCL_K,UCL_K,AssumedDistK,to,SE_to,SD_to,LCL_to,UCL_to,Type,MethodGrowth,Winfinity,LinfLmax,Auxim,LogKLogLoo,SourceWinfinity,b,C,tmax,tmaxRef,tm,M,MethodM,Mquality,MRef,Number_M,r2_M,SE_M,SD_M,LCL_M,UCL_M,AssumedDistM,Lm,LmLoo,LmSex,TypeLm,unsexedRef,LmMale,LmLooMale,LmFemale,LmLooFemale,Locality,YearStart,YearEnd,YearRemark,C_Code,GrowthEnviron,Temperature,DeltaT,TempRef,Rm,Comment,Comment2,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
5687,Abudefduf septemfasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5688,Abudefduf sexfasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5689,Abudefduf sordidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4306,Acanthurus achilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,Acanthurus mata,7862,1271,243,52229,unsexed,annuli on otoliths,52229,38.3,NA,NA,NA,NA,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,23,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Great Barrier Reef,2002,NA,publication year,036,open waters,26,NA,37814,NA,NA,NA,3,2004-10-03T00:00:00Z,3,2014-06-27T00:00:00Z,NA,NA,NA
4750,Acanthurus blochii,7860,4974,243,52229,unsexed,annuli on otoliths,52229,27.6,24,NA,NA,NA,NA,NA,NA,35.9,0.25,NA,NA,NA,NA,NA,-0.38,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,35,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Great Barrier Reef,2002,NA,publication year,036,open waters,26,NA,37814,NA,Size range: 12.9-32.8 cm,NA,3,2004-10-03T00:00:00Z,3,2014-06-27T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258,Acanthurus lineatus,6077,1275,127,27543,mixed,annuli on otoliths,27543,20.3,NA,NA,NA,NA,NA,NA,NA,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL,Ford/Walford plot,230,0,unchecked,NA,using LWR of species,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.89,mixed,FL,27543,NA,NA,NA,NA,"Tutuila Island (14<b0>S, 171<b0>W)",1997,NA,publication year,016,open waters,28.6,NA,27543,NA,NA,NA,3,2001-02-22T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,6765,1275,243,43712,unsexed,annuli on otoliths,43712,17.5,NA,NA,NA,NA,NA,NA,NA,26.05164,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,non-linear regression,NA,-1,unchecked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern Great Barrier Reef (mid-shelf),1992,1997,sampling year,036,open waters,26,NA,37814,NA,NA,NA,3,2002-10-15T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,6764,1275,243,43712,unsexed,annuli on otoliths,43712,18.9,NA,NA,NA,NA,NA,NA,NA,28.13577,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,non-linear regression,NA,-1,unchecked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern Great Barrier Reef (mid-shelf),1992,1997,sampling year,036,open waters,26,NA,37814,NA,NA,NA,3,2002-10-15T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
