SpecCode,Species,autoctr,StockCode,MorphDatRefNo,Females,Males,AppearancePic,SexualAttributes,SexMorphology,SexColors,StrikingFeatures,BodyShapeI,BodyShapeII,Forehead,OperculumPresent,TypeofEyes,TypeofMouth,PosofMouth,MandibleTeeth,MandibleTeethT1,MandibleTeethT2,MandibleRowsMin,MandibleRowsMax,MaxillaTeeth,MaxillaTeethT1,MaxillaTeethT2,MaxillaRowsMin,MaxillaRowsMax,VomerineTeeth,VomerineTeethT1,VomerineTeethT2,VomerineRowsMin,VomerineRowsMax,Palatine,PalatineTeethT1,PalatineTeethT2,PalatineRowsMin,PalatineRowsMax,PharyngealTeeth,PharyngealTeethT1,PharyngealTeethT2,PharyngealRowsMin,PharyngealRowsMax,TeethonTongue,Lipsteeth,DermalTeeth,CommentonTeeth,TypeofScales,Scutes,Keels,HorStripesTTI,HorStripesTTII,VerStripesTTI,VerStripesTTII,VerStripesTTIII,DiaStripesTTI,DiaStripesTTII,DiaStripesTTIII,CurStripesTTI,CurStripesTTII,CurStripesTTIII,SpotsTTI,SpotsTTII,SpotsTTIII,DorsalFinI,DorsalFinII,CaudalFinI,CaudalFinII,AnalFinI,AnalFinII,LateralLinesNo,LLinterrupted,ScalesLateralmin,ScalesLateralmax,PoredScalesMin,PoredScalesMax,LatSeriesMin,LatSeriesMax,ScaleRowsAboveMin,ScaleRowsAboveMax,ScaleRowsBelowMin,ScaleRowsBelowMax,ScalesPeduncMin,ScalesPeduncMax,BarbelsNo,BarbelsType,GillCleftsNo,Spiracle,GillRakersLowMin,GillRakersLowMax,GillRakersUpMin,GillRakersUpMax,GillRakersTotalMin,GillRakersTotalMax,Vertebrae,VertebraePreanMin,VertebraePreanMax,VertebraeTotalMin,VertebraeTotalMax,DorsalAttributes,Dfinno,DorsalSpinesMin,DorsalSpinesMax,Notched,DorsalSoftRaysMin,DorsalSoftRaysMax,Adifin,DFinletsmin,DFinletsmax,VFinletsmin,VFinletsmax,CShape,Attributes,Afinno,AnalFinSpinesMin,AnalFinSpinesMax,Araymin,Araymax,PectoralAttributes,Pspines2,Praymin,Praymax,PelvicsAttributes,VPosition,VPosition2,Vspines,Vraymin,Vraymax,StandardLengthCm,Forklength,Totallength,HeadLength,PreDorsalLength,PrePelvicsLength,PreAnalLength,PostHeadDepth,PostTrunkDepth,MaximumDepth,PeduncleDepth,PeduncleLength,CaudalHeight,PreorbitalLength,EyeLength,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,RemarkSex,AddChars,SimilarSpecies1,SimilarSpec1Remarks,SimilarSpecies2,SimilarSpec2Remarks,EaseofID,OtherRef1,OtherRef2,TS
5687,Abudefduf septemfasciatus,3664,5980,1602,0,0,NA,NA,NA,NA,none,short and / or deep,compressed,clearly convex,-1,more or less normal,more or less normal,terminal,present,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ctenoid scales,absent,0,absent,NA,present,dorsal and ventral,reaching ventral contour,absent,NA,NA,absent,NA,NA,one spot only,NA,NA,no spots or stripes,no colored margin,no spots or stripes,no colored margin,no spots or stripes,no colored margin,1,-1,20,22,20,22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,20,26,NA,NA,NA,NA,NA,no striking attributes,1,13,13,0,12,14,absent,0,0,0,0,forked,more or less normal,1,2,2,11,13,more or less normal,0,17,20,more or less normal,thoracic,beneath origin of D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,NA,NA,NA,NA,NA,65,1993-12-14T00:00:00Z,2310,2013-05-02T00:00:00Z,NA,NA,NA,"Description:  Head and body white, vertical bars five grey diffuse, first three bars shading from darker to lighter from dorsal to ventral.  Body depth 1.7-2.0 in SL (Ref. 90102).",5689,Similar to @A. sordidus@ but lacks the black spot on top of the caudal fin base.,NA,NA,NA,90102,NA,NA
5688,Abudefduf sexfasciatus,3665,5981,1602,0,0,NA,NA,NA,NA,none,short and / or deep,compressed,more or less straight,-1,more or less normal,more or less normal,terminal,present,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ctenoid scales,absent,0,absent,NA,present,dorsal and ventral,reaching ventral contour,absent,NA,NA,absent,NA,NA,no spots,NA,NA,no spots or stripes,no colored margin,one spot or stripe,no colored margin,no spots or stripes,no colored margin,1,-1,18,22,20,22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,18,19,7,9,25,28,NA,NA,NA,NA,NA,no striking attributes,1,13,13,0,12,16,absent,0,0,0,0,forked,more or less normal,1,2,2,12,14,more or less normal,0,17,19,more or less normal,thoracic,beneath origin of D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,NA,NA,NA,NA,NA,65,1993-12-16T00:00:00Z,2310,2013-05-02T00:00:00Z,NA,NA,NA,"Description:  Head and body white, vertical bars five dark broad (Ref. 90102).  Dark longitudinal band on each caudal lobe (Ref. 1602).  Body depth 1.7-1.9 in SL (Ref. 90102).",NA,NA,NA,NA,NA,90102,NA,NA
5689,Abudefduf sordidus,3666,5982,1602,0,0,NA,NA,NA,NA,none,short and / or deep,compressed,more or less straight,-1,more or less normal,more or less normal,terminal,present,NA,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ctenoid scales,absent,0,absent,NA,absent,NA,NA,absent,NA,NA,absent,NA,NA,more than one spot,mainly dorsal,on trunk and tail,no spots or stripes,no colored margin,no spots or stripes,no colored margin,no spots or stripes,no colored margin,1,-1,20,23,20,23,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,9,11,14,15,26,28,NA,NA,NA,NA,NA,extending over most of the back length,1,13,13,0,14,16,absent,0,0,0,0,forked,more or less normal,1,2,2,14,15,more or less normal,0,19,20,more or less normal,thoracic,beneath origin of D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6,NA,NA,NA,NA,NA,65,1993-12-17T00:00:00Z,2310,2013-05-02T00:00:00Z,NA,NA,NA,"Description:  Head and body white, vertical bars six grey broad (Ref. 90102).  Prominent black spot (saddle) on upper caudal peduncle (Ref. 1602).",NA,NA,NA,NA,NA,90102,NA,NA
4306,Acanthurus achilles,2324,4501,1602,0,0,NA,no special organs,NA,NA,none,short and / or deep,compressed,clearly convex,-1,more or less normal,more or less normal,terminal,present,NA,NA,1,1,present,NA,NA,1,1,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teeth broad, forming sharp cutting crenulate edge.",ctenoid scales,absent,0,present,dorsal and ventral,absent,NA,NA,absent,NA,NA,absent,NA,NA,one spot only,lateral,mainly on tail,no spots or stripes,colored margin,no spots or stripes,colored margin,one spot or stripe,colored margin,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extending over most of the back length,1,9,9,0,29,33,absent,0,0,0,0,more or less truncate,more or less normal,1,3,3,26,29,more or less normal,0,16,16,more or less normal,thoracic,beneath origin of D1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1991-05-22T00:00:00Z,65,1994-09-29T00:00:00Z,NA,NA,NA,"Dark brown, nearly black in color.  Erectile spine (sharp and forward-pointing) on each side of caudal peduncle which folds down into a groove.  Mouth small, snout noticeably extended.  Light blue ring around chin and presence of spot of same color on gill cover at angle of gill opening.  Dorsal fin with soft part having longer base than spinous part.  Juveniles lack the large orange spot on caudal area.",NA,NA,NA,NA,NA,NA,NA,NA
1255,Acanthurus mata,973,1271,1920,0,0,NA,no special organs,NA,NA,none,fusiform / normal,compressed,more or less straight,-1,more or less normal,more or less normal,terminal,present,NA,NA,1,1,present,NA,NA,1,1,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Close-set: 16 - 24 in lower jaw; 14 - 24 in upper jaw.,ctenoid scales,absent,0,absent,NA,absent,NA,NA,absent,NA,NA,present,lateral,reaching ventral contour,no spots,NA,NA,no spots or stripes,colored margin,no spots or stripes,colored margin,no spots or stripes,colored margin,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extending over most of the back length,1,9,9,0,24,26,absent,0,0,0,0,more or less truncate,more or less normal,1,3,3,23,24,more or less normal,0,16,17,more or less normal,thoracic,behind origin of D1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1991-05-21T00:00:00Z,2291,2013-04-29T00:00:00Z,NA,NA,NA,"Body brown; head banded; fins brown.  Capable of changing color to pale bluish overall.  Behind eye a yellow area and 2 yellow bands extending anterior from eye.  A single, sharp, forward-pointing erectile spine which folds down into a horizontal groove on each side of the caudal peduncle; spine in white sheath.  Gill rakers 13-15 in both anterior and posterior rows.  Scales minute.
Description:  Characterized further by having small caudal spine; slender body, greatest depth 2.1-2.5 in SL (Ref. 90102).",NA,NA,NA,NA,NA,90102,NA,NA
4750,Acanthurus blochii,2945,4974,2334,0,0,NA,NA,NA,NA,none,short and / or deep,compressed,more or less straight,-1,more or less normal,more or less normal,terminal,present,NA,NA,1,1,present,NA,NA,1,1,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teeth close-set.,ctenoid scales,absent,0,absent,NA,absent,NA,NA,absent,NA,NA,absent,NA,NA,more than one spot,dorsal and ventral,on trunk and tail,more than one spot or stripe,colored margin,more than one spot or stripe,colored margin,more than one spot or stripe,colored margin,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,20,25,NA,NA,NA,NA,NA,extending over most of the back length,1,9,9,0,25,27,absent,0,0,0,0,more or less truncate,more or less normal,1,3,3,24,25,more or less normal,0,17,17,more or less normal,thoracic,NA,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1992-06-02T00:00:00Z,113,2013-04-29T00:00:00Z,NA,NA,NA,"Color in life bluish grey with numerous yellowish brown spots which tend to form irregular longitudinal lines; head with narrow irregular stripes; behind eye a yellow spot; brown pectoral fins; base of caudal fin with white bar.  Caudal spine large, 3 - 4.4 in head.  Stomach gizzard-like.  Differs from <i>A. dussumieri</i> by having vertical stripes instead of spots on the blue central area of the caudal fin, from <i>A. mata</i> by having a lunate caudal fin, and from <i>A. xanthopterus</i> by having plain brown to blue-grey pectoral fins (Ref. 1602).  The white ring around the base of the tail varies in intensity and may occasionally be absent (Ref. 1602).",NA,NA,NA,NA,NA,1602,NA,NA
4736,Acanthurus guttatus,2937,4960,1920,0,0,NA,NA,NA,NA,none,short and / or deep,compressed,more or less straight,-1,more or less normal,more or less normal,terminal,present,NA,NA,1,1,present,NA,NA,1,1,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Close-set; upper jaw with 8-12 teeth; lower jaw with 8-14.,ctenoid scales,absent,0,absent,NA,present,dorsal and ventral,reaching ventral contour,absent,NA,NA,absent,NA,NA,more than one spot,dorsal and ventral,mainly on tail,more than one spot or stripe,colored margin,no spots or stripes,colored margin,more than one spot or stripe,colored margin,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extending over most of the back length,1,9,9,0,27,30,absent,0,0,0,0,more or less truncate,more or less normal,1,3,3,23,26,more or less normal,0,15,17,more or less normal,thoracic,behind origin of D1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1991-12-02T00:00:00Z,65,1995-09-14T00:00:00Z,NA,NA,NA,"Preserved color is brown; spotted, white spots usually bordered with dark brown (may help conceal it in turbulent water that is often filled with small bubbles).  Pelvic fins bright yellow.  Each side of caudal peduncle with a single, sharp, forward-pointing erectile spine.  Gill rakers on anterior row:  21-24; gill rakers on posterior row:  19-23.",NA,NA,NA,NA,NA,NA,NA,NA
1258,Acanthurus lineatus,976,1275,1920,0,0,NA,no special organs,NA,NA,none,short and / or deep,compressed,clearly convex,-1,more or less normal,more or less normal,terminal,present,NA,NA,1,1,present,NA,NA,1,1,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teeth in upper jaw 12 - 14, lower jaw 14 - 15.",ctenoid scales,absent,0,present,lateral,absent,NA,NA,absent,NA,NA,absent,NA,NA,no spots,NA,NA,more than one spot or stripe,colored margin,more than one spot or stripe,colored margin,no spots or stripes,colored margin,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extending over most of the back length,1,9,9,0,27,30,absent,0,0,0,0,more or less truncate,more or less normal,1,3,3,25,28,more or less normal,0,16,16,more or less normal,thoracic,before origin of D1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1991-05-22T00:00:00Z,2291,2013-04-29T00:00:00Z,NA,NA,NA,"Upper 3/4 of body with alternating black-edged blue and yellow bands; lower 1/4 of body gray.  Erectile spine on each side of caudal peduncle is sharp, strong, forward-pointing, and venomous.  Upper part of head with yellow, oblique stripes.  Pectoral fins pale with dusky rays; pelvic fins light yellowish brown with black outer margin; vertical markings in caudal fin.  Gill rakers 14-16 anterior row, 13-15 posterior row.  Minute scales.  Philippine specimens demonstrate different color patterns.
Description:  Characterized further by having a caudal spine length of 1.9-2.0 in head length; greatest depth of body of adults 2.2 in SL (Ref. 90102).",NA,NA,NA,NA,NA,90102,NA,NA
6011,Acanthurus nigricans,3954,6325,1602,0,0,NA,NA,NA,NA,NA,short and / or deep,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,0,28,31,absent,NA,NA,NA,NA,more or less truncate,more or less normal,1,3,3,26,28,more or less normal,0,16,16,more or less normal,thoracic,beneath origin of D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,1995-09-14T00:00:00Z,2291,2013-04-29T00:00:00Z,NA,NA,NA,"A horizontally elongate white blotch directly below eye.  No orange band in outer part of dorsal fin.  Caudal peduncle black except for yellow edge of socket and sheath of peduncular spine.  Base of pectoral fin black (ref  9808).Gill rakers on anterior row:17-19, on posterior row:18-20.
Description:  Characterized further by blackish or dark grey body color; white patch below eye; white ring behind mouth; base of dorsal and anal fins with yellow zone that gradually widens towards rear part of fins; caudal spine yellow; caudal fin yellow with submarginal band; caudal spine length 2.5-3.0 in head length; greatest depth of body 1.7-1.9 in SL (Ref. 90102).",23375,"The white blotch covers the entire cheek in <i>Acanthurus japonicus</i> (Schmidt, 1931), not in <i>Acanthurus nigricans</i> (Linnaeus, 1758) where it is only under the eye.",1257,"<i>Acanthurus leucosternon</i> (Linnaeus, 1758) has the same general blue body color, but the white blotch is on the throat, not on the cheek, and fin colors are different compared to <i>Acanthurus nigricans</i> (Linnaeus, 1758) and <i>Acanthurus japonicus</i> (Schmidt, 1931).",likely to be confused with closely related species.,9808,90102,NA
4747,Acanthurus nigricauda,2942,4971,2334,0,0,NA,NA,NA,NA,none,short and / or deep,compressed,clearly convex,-1,more or less normal,more or less normal,terminal,present,NA,NA,1,1,present,NA,NA,1,1,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teeth close-set.,ctenoid scales,absent,0,present,lateral,absent,NA,NA,absent,NA,NA,absent,NA,NA,no spots,NA,NA,no spots or stripes,colored margin,one spot or stripe,colored margin,no spots or stripes,colored margin,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,20,21,NA,NA,NA,NA,NA,extending over most of the back length,1,9,9,0,25,28,absent,0,0,0,0,more or less truncate,more or less normal,1,3,3,23,26,more or less normal,0,17,17,more or less normal,thoracic,behind origin of D1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1992-06-02T00:00:00Z,2291,2013-04-29T00:00:00Z,NA,NA,NA,"Color in life dark brown without lines on body or spots on head (one phase is purplish grey); horizontal black band behind upper gill opening absent on juveniles <6 cm SL; elongate purple band may be present anterior to dorsal origin; caudal fin brown; outer third of pectoral fin pale.  Species with gizzard-like stomach.
Description:  Characterized further by having white bar at base of caudal fin; length of caudal spine 2.8-4.5 in head length; greatest depth of body 2.0-2.2 in SL (Ref. 90102).",NA,NA,NA,NA,NA,90102,NA,NA
