SpecCode,Species,AutoCtr,StockCode,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
5687,Abudefduf septemfasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5688,Abudefduf sexfasciatus,7570,5981,350,26587,6,14.5,FL,No,NA,73,unsexed,0.0249,0.01363,3.11,0.98208,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,26587,540,NA,3,1998-05-21T00:00:00Z,NA,1998-05-21T00:00:00Z,NA,NA,NA
5688,Abudefduf sexfasciatus,7571,5981,350,55787,5,15,FL,NA,NA,98,mixed,0.02128,0.01155,3.15197,0.96236,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  10.9%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,7572,5982,350,30504,NA,NA,SL,NA,NA,1,unsexed,0.00445,0.00183,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,7573,5982,350,30504,20.1,20.1,TL,NA,NA,1,unsexed,0.02463,0.02463,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,7574,5982,350,52323,NA,NA,TL,NA,NA,NA,mixed,0.0164,0.0164,3.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Presumably Philippines.,NA,608,NA,1,2005-12-12T00:00:00Z,NA,2005-12-12T00:00:00Z,NA,NA,NA
4306,Acanthurus achilles,5948,4501,412,30504,17,25,TL,NA,NA,2,unsexed,0.00245,0.00245,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,several L-W pairs with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4306,Acanthurus achilles,5949,4501,412,30504,14.9,20.2,SL,NA,NA,2,unsexed,0.00412,0.00158,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,several L-W pairs with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
1255,Acanthurus mata,3131,1271,412,26587,10,29.5,FL,NA,NA,48,unsexed,0.027,0.02095,2.945,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-19T00:00:00Z,3,1998-05-21T00:00:00Z,NA,NA,NA
1255,Acanthurus mata,3132,1271,412,55787,10,29.5,FL,NA,NA,48,mixed,0.02224,0.01717,3.00795,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  6.9%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
4750,Acanthurus blochii,6670,4974,412,26587,2.5,37,FL,NA,NA,89,unsexed,0.0178,0.01131,3.144,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-18T00:00:00Z,3,1998-05-21T00:00:00Z,NA,NA,NA
4750,Acanthurus blochii,6671,4974,412,55787,2.5,38,FL,NA,NA,249,mixed,0.02506,0.01618,3.03193,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  9.8%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,6652,4960,412,30504,21.6,21.6,TL,NA,NA,1,unsexed,0.00286,0.00286,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,6653,4960,412,30504,NA,NA,SL,NA,NA,1,unsexed,0.00537,0.00234,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,3137,1275,412,3807,NA,NA,NA,NA,NA,NA,unsexed,0.0192,NA,3.072,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai Atoll, Yap State, 1991",3807,583,condition factor = 2.339,3,1992-06-14T00:00:00Z,NA,1994-01-27T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,3138,1275,412,27143,7.6,20.6,SL,NA,yes,94,unsexed,0.109,0.03546,2.691,0.96236,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Eastern coast, coral reefs",27143,036,NA,3,1998-08-21T00:00:00Z,NA,2001-12-13T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,3139,1275,412,27543,NA,NA,FL,NA,NA,1047,mixed,0.0251,0.01222,3.03,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Tutuila Island,27543,016,NA,3,2001-02-22T00:00:00Z,NA,2022-02-01T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,3140,1275,412,48600,8.2,27.4,TL,NA,NA,54,unsexed,0.0126,0.0126,3.064,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lakshadweep lagoons, 1993-97",48600,356,NA,3,2003-09-05T00:00:00Z,NA,2003-09-05T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,7805,6325,412,3807,NA,NA,NA,NA,NA,NA,unsexed,0.067,NA,2.669,0.9044,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai atoll, Yap State",3807,583,NA,3,1993-06-19T00:00:00Z,NA,1994-01-31T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,6665,4971,412,3807,NA,NA,NA,NA,NA,NA,unsexed,0.067,NA,2.669,0.9044,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai Atoll, Yap State, 1991",3807,583,condition factor = 2.755,3,1992-06-14T00:00:00Z,NA,1994-01-27T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,6666,4971,412,5525,NA,NA,NA,NA,NA,NA,unsexed,0.08,NA,2.61,0.8281,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Northern coast,5543,598,NA,3,1993-06-19T00:00:00Z,3,1995-09-18T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,6667,4971,412,26587,7.5,22.5,FL,NA,NA,24,unsexed,0.0261,0.01256,3.024,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,26587,540,NA,3,1998-05-21T00:00:00Z,NA,1998-05-21T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,6668,4971,412,48600,9.5,23.1,TL,NA,NA,16,unsexed,0.0312,0.0312,2.759,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lakshadweep lagoons, 1993-97",48600,356,NA,3,2003-09-05T00:00:00Z,NA,2003-09-05T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,6669,4971,412,55787,4.6,22.5,FL,NA,NA,51,mixed,0.01678,0.0078,3.16772,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  8.8%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,6656,4963,412,3807,NA,NA,NA,NA,NA,NA,unsexed,0.044,NA,2.812,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai Atoll, Yap State, 1991",3807,583,condition factor = 2.726,3,1992-06-14T00:00:00Z,NA,1994-01-27T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,6657,4963,412,5525,NA,NA,NA,NA,NA,NA,unsexed,0.096,NA,2.52,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Northern coast,5543,598,NA,3,1993-06-19T00:00:00Z,3,1995-09-18T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,6658,4963,412,26587,4.5,17.5,FL,NA,NA,114,unsexed,0.0301,0.01848,2.967,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-19T00:00:00Z,3,1998-05-21T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,6659,4963,412,26849,5.7,16.5,TL,NA,NA,140,unsexed,0.0089,0.0089,3.278,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,26849,638,NA,3,1998-06-17T00:00:00Z,NA,1998-06-17T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,6660,4963,412,55787,4.5,18.7,FL,NA,NA,124,mixed,0.02637,0.01603,3.02837,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  8.7%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,Acanthurus olivaceus,6663,4968,412,3807,NA,NA,NA,NA,NA,NA,unsexed,0.007,NA,3.398,0.94673,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai Atoll, Yap State, 1991",3807,583,condition factor = 2.098,3,1992-06-14T00:00:00Z,NA,1994-01-27T00:00:00Z,NA,NA,NA
4744,Acanthurus olivaceus,6664,4968,412,27143,2.6,24.8,SL,NA,NA,177,unsexed,0.0384,0.01897,3.055,0.998,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Eastern coast, coral reefs",27143,036,NA,3,1998-08-21T00:00:00Z,NA,2001-12-13T00:00:00Z,NA,NA,NA
4742,Acanthurus pyroferus,6661,4966,412,30504,20.5,20.5,TL,NA,NA,1,unsexed,0.00179,0.00179,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4742,Acanthurus pyroferus,6662,4966,412,30504,NA,NA,SL,NA,NA,1,unsexed,0.00505,0.00183,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4734,Acanthurus thompsoni,6650,4958,412,30504,20.1,20.1,TL,NA,NA,1,unsexed,0.01533,0.01533,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4734,Acanthurus thompsoni,6651,4958,412,30504,NA,NA,SL,NA,Yes,1,unsexed,0.03689,0.01189,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
